Wavenumber,Transmittance
399.27173,0.96935
400.23615,0.98068
401.20057,0.98422
402.165,0.98323
403.12942,0.99582
404.09385,0.99851
405.05827,0.98706
406.0227,0.98523
406.98712,1
407.95155,0.99829
408.91597,0.98813
409.88039,0.98543
410.84482,0.99547
411.80924,0.99346
412.77367,0.98433
413.73809,0.9848
414.70252,0.98297
415.66694,0.9845
416.63137,0.97531
417.59579,0.95972
418.56021,0.96235
419.52464,0.98078
420.48906,0.98292
421.45349,0.98237
422.41791,0.98027
423.38234,0.9792
424.34676,0.97659
425.31119,0.9816
426.27561,0.99247
427.24003,0.98519
428.20446,0.98789
429.16888,0.99475
430.13331,0.99022
431.09773,0.98521
432.06216,0.9877
433.02658,0.98711
433.99101,0.9811
434.95543,0.97608
435.91985,0.97869
436.88428,0.98835
437.8487,0.9874
438.81313,0.98463
439.77755,0.98734
440.74198,0.98377
441.7064,0.98367
442.67083,0.98395
443.63525,0.98854
444.59967,0.99161
445.5641,0.98187
446.52852,0.97569
447.49295,0.9832
448.45737,0.98219
449.4218,0.97723
450.38622,0.97883
451.35065,0.9801
452.31507,0.97568
453.27949,0.97685
454.24392,0.98146
455.20834,0.98072
456.17277,0.9703
457.13719,0.95783
458.10162,0.97136
459.06604,0.98197
460.03047,0.97932
460.99489,0.97349
461.95931,0.97139
462.92374,0.9765
463.88816,0.97796
464.85259,0.97497
465.81701,0.9763
466.78144,0.97734
467.74586,0.96879
468.71029,0.96979
469.67471,0.97236
470.63914,0.9672
471.60356,0.95934
472.56798,0.96733
473.53241,0.97693
474.49683,0.97641
475.46126,0.97509
476.42568,0.97888
477.39011,0.97941
478.35453,0.97688
479.31896,0.97827
480.28338,0.97644
481.2478,0.97776
482.21223,0.98099
483.17665,0.97829
484.14108,0.98362
485.1055,0.98528
486.06993,0.9822
487.03435,0.98287
487.99878,0.98342
488.9632,0.98297
489.92762,0.97885
490.89205,0.97436
491.85647,0.97654
492.8209,0.98134
493.78532,0.98255
494.74975,0.98307
495.71417,0.98012
496.6786,0.98004
497.64302,0.98418
498.60744,0.98241
499.57187,0.98203
500.53629,0.97991
501.50072,0.97667
502.46514,0.98131
503.42957,0.98246
504.39399,0.98308
505.35842,0.98096
506.32284,0.97673
507.28726,0.9808
508.25169,0.98219
509.21611,0.97975
510.18054,0.98135
511.14496,0.98339
512.10939,0.98252
513.07381,0.98439
514.03824,0.98429
515.00266,0.98044
515.96708,0.9794
516.93151,0.98469
517.89593,0.98203
518.86036,0.97789
519.82478,0.97922
520.78921,0.97798
521.75363,0.98105
522.71806,0.98189
523.68248,0.97596
524.6469,0.97033
525.61133,0.97221
526.57575,0.98043
527.54018,0.98152
528.5046,0.97767
529.46903,0.974
530.43345,0.97491
531.39788,0.97873
532.3623,0.97965
533.32672,0.97282
534.29115,0.97335
535.25557,0.97991
536.22,0.97903
537.18442,0.97649
538.14885,0.97826
539.11327,0.97811
540.0777,0.97562
541.04212,0.9752
542.00654,0.97974
542.97097,0.98041
543.93539,0.97637
544.89982,0.97773
545.86424,0.98031
546.82867,0.97813
547.79309,0.97654
548.75752,0.97615
549.72194,0.97783
550.68636,0.97975
551.65079,0.97926
552.61521,0.97998
553.57964,0.98079
554.54406,0.97727
555.50849,0.97445
556.47291,0.97409
557.43734,0.97631
558.40176,0.97585
559.36618,0.97429
