Wavelength,Transmittance
399.26491,0.93912
401.19373,0.93367
403.12254,0.92411
405.05136,0.91548
406.98018,0.91016
408.90899,0.90937
410.83781,0.90726
412.76662,0.90087
414.69544,0.89856
416.62426,0.89532
418.55307,0.88343
420.48189,0.86716
422.4107,0.85714
424.33952,0.85193
426.26834,0.84703
428.19715,0.84412
430.12597,0.83746
432.05478,0.82744
433.9836,0.81825
435.91242,0.81268
437.84123,0.81081
439.77005,0.81036
441.69886,0.8083
443.62768,0.80318
445.5565,0.7973
447.48531,0.79508
449.41413,0.79772
451.34294,0.80229
453.27176,0.80759
455.20058,0.80976
457.12939,0.80629
459.05821,0.80223
460.98702,0.80329
462.91584,0.80678
464.84466,0.80689
466.77347,0.80501
468.70229,0.8029
470.6311,0.79906
472.55992,0.79494
474.48874,0.79137
476.41755,0.78994
478.34637,0.78733
480.27518,0.78379
482.204,0.77795
484.13282,0.77012
486.06163,0.76328
487.99045,0.7582
489.91926,0.75314
491.84808,0.74944
493.7769,0.74771
495.70571,0.74552
497.63453,0.74164
499.56334,0.73532
501.49216,0.72696
503.42098,0.71962
505.34979,0.7136
507.27861,0.70772
509.20742,0.70081
511.13624,0.69614
513.06506,0.69234
514.99387,0.68654
516.92269,0.67739
518.8515,0.66873
520.78032,0.66605
522.70914,0.66894
524.63795,0.67171
526.56677,0.67173
528.49558,0.67042
530.4244,0.66951
532.35322,0.66891
534.28203,0.66922
536.21085,0.66928
538.13966,0.66629
540.06848,0.6613
541.9973,0.65528
543.92611,0.64739
545.85493,0.63805
547.78374,0.62888
549.71256,0.62101
551.64138,0.61339
553.57019,0.6043
555.49901,0.5931
557.42782,0.58213
559.35664,0.57592
561.28546,0.57585
563.21427,0.57988
565.14309,0.58453
567.0719,0.58778
569.00072,0.58958
570.92954,0.59088
572.85835,0.59108
574.78717,0.58877
576.71598,0.58549
578.6448,0.58307
580.57362,0.58231
582.50243,0.58102
584.43125,0.57986
586.36006,0.58091
588.28888,0.58149
590.2177,0.57738
592.14651,0.57042
594.07533,0.56803
596.00414,0.57142
597.93296,0.57495
599.86178,0.57581
601.79059,0.5735
603.71941,0.56947
605.64822,0.56394
607.57704,0.55884
609.50586,0.55541
611.43467,0.55468
613.36349,0.55644
615.2923,0.55739
617.22112,0.55753
619.14994,0.56012
621.07875,0.56711
623.00757,0.57475
624.93638,0.5819
626.8652,0.58766
628.79402,0.59224
630.72283,0.59633
632.65165,0.60271
634.58046,0.61071
636.50928,0.61841
638.4381,0.62424
640.36691,0.62891
642.29573,0.63202
644.22454,0.63408
646.15336,0.63477
648.08218,0.63433
650.01099,0.63259
651.93981,0.63075
653.86862,0.62782
655.79744,0.62321
657.72626,0.61697
659.65507,0.61163
661.58389,0.60791
663.5127,0.61384
665.44152,0.62117
667.37034,0.61434
669.29915,0.60612
671.22797,0.61237
673.15678,0.63017
675.0856,0.6426
677.01442,0.65608
678.94323,0.66941
680.87205,0.68078
682.80086,0.68882
684.72968,0.69458
686.6585,0.698
688.58731,0.70008
690.51613,0.70172
692.44494,0.70415
694.37376,0.70653
696.30258,0.70821
698.23139,0.7094
700.16021,0.71117
702.08902,0.71321
704.01784,0.71475
705.94666,0.71566
707.87547,0.71681
709.80429,0.71853
711.7331,0.72113
713.66192,0.72505
715.59074,0.73095
717.51955,0.73812
719.44837,0.7455
721.37718,0.75313
723.306,0.76144
725.23482,0.76994
727.16363,0.7779
729.09245,0.78553
731.02126,0.79282
732.95008,0.79973
734.8789,0.8064
736.80771,0.81313
738.73653,0.81989
740.66534,0.82614
742.59416,0.83152
744.52298,0.8362
